character_name,Betweenness,Degree
CAMIE,0.0,0.111
LUKE,0.39,0.722
BIGGS,0.046,0.389
DARTH_VADER,0.007,0.222
LEIA,0.282,0.556
BERU,0.008,0.222
OWEN,0.0,0.167
C-3PO,0.059,0.444
OBI-WAN,0.03,0.278
MOTTI,0.0,0.167
TARKIN,0.0,0.167
HAN,0.216,0.333
GREEDO,0.0,0.056
JABBA,0.0,0.056
DODONNA,0.0,0.167
