character_name,Degree,Betweenness
EMPEROR,0.29,0.03
SENATOR_ASK_AAK,0.226,0.007
ORN_FREE_TAA,0.097,0.0
MACE_WINDU,0.323,0.061
YODA,0.323,0.061
KI-ADI-MUNDI,0.161,0.065
BAIL_ORGANA,0.226,0.01
JAR_JAR,0.323,0.063
OBI-WAN,0.581,0.325
ANAKIN,0.645,0.375
CAPTAIN_TYPHO,0.097,0.0
PADME,0.516,0.165
PK-4,0.032,0.0
SIO_BIBBLE,0.032,0.0
SOLA,0.129,0.0
JOBAL,0.129,0.0
RUWEE,0.129,0.0
TAUN_WE,0.129,0.002
LAMA_SU,0.065,0.0
BOBA_FETT,0.097,0.0
JANGO_FETT,0.129,0.002
WATTO,0.032,0.0
C-3PO,0.161,0.0
OWEN,0.161,0.0
BERU,0.161,0.0
CLIEGG,0.161,0.0
SHMI,0.032,0.0
COUNT_DOOKU,0.323,0.038
POGGLE,0.194,0.0
SUN_RIT,0.194,0.0
NUTE_GUNRAY,0.194,0.0
PLO_KOON,0.032,0.0
