character_name,Betweenness,Degree
LOR_SAN_TEKKA,0.0,0.13
POE,0.334,0.609
KYLO_REN,0.273,0.391
CAPTAIN_PHASMA,0.063,0.261
FINN,0.156,0.522
GENERAL_HUX,0.093,0.217
REY,0.183,0.304
UNKAR_PLUTT,0.0,0.043
LIEUTENANT_MITAKA,0.0,0.087
HAN,0.156,0.522
BALA-TIK,0.0,0.13
SNOKE,0.0,0.087
MAZ,0.0,0.13
BB-8,0.0,0.043
C-3PO,0.0,0.304
