character_name,Betweenness,Degree
HAN,0.125,0.5
LUKE,0.446,0.556
RIEEKAN,0.0,0.167
LEIA,0.084,0.444
C-3PO,0.084,0.444
DERLIN,0.0,0.111
OBI-WAN,0.006,0.167
ZEV,0.0,0.111
OZZEL,0.0,0.111
PIETT,0.01,0.222
DARTH_VADER,0.358,0.556
DACK,0.0,0.056
WEDGE,0.111,0.111
JANSON,0.0,0.056
NEEDA,0.0,0.111
